session_test_id,device,age,gender,matr,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
masterthesis_mushra,headphones,40,male,,f1_i,C4,25,21410,
masterthesis_mushra,headphones,40,male,,f1_i,C2,76,21410,
masterthesis_mushra,headphones,40,male,,f1_i,C3,41,21410,
masterthesis_mushra,headphones,40,male,,f1_i,reference,100,21410,
masterthesis_mushra,headphones,40,male,,f8_i,C1,85,47165,
masterthesis_mushra,headphones,40,male,,f8_i,reference,100,47165,
masterthesis_mushra,headphones,40,male,,f8_i,C3,55,47165,
masterthesis_mushra,headphones,40,male,,f8_i,C2,47,47165,
masterthesis_mushra,headphones,40,male,,f8_i,C4,25,47165,
masterthesis_mushra,headphones,40,male,,f5_o,C1,99,60677,
masterthesis_mushra,headphones,40,male,,f5_o,C2,83,60677,
masterthesis_mushra,headphones,40,male,,f5_o,C4,20,60677,
masterthesis_mushra,headphones,40,male,,f5_o,reference,72,60677,
masterthesis_mushra,headphones,40,male,,f5_o,C3,37,60677,
masterthesis_mushra,headphones,40,male,,m2_i,C4,89,86835,
masterthesis_mushra,headphones,40,male,,m2_i,C2,91,86835,
masterthesis_mushra,headphones,40,male,,m2_i,reference,57,86835,
masterthesis_mushra,headphones,40,male,,m2_i,C3,72,86835,
masterthesis_mushra,headphones,40,male,,m2_i,C1,100,86835,
masterthesis_mushra,headphones,40,male,,f1_o,C1,61,38525,
masterthesis_mushra,headphones,40,male,,f1_o,C2,61,38525,
masterthesis_mushra,headphones,40,male,,f1_o,C4,18,38525,
masterthesis_mushra,headphones,40,male,,f1_o,reference,100,38525,
masterthesis_mushra,headphones,40,male,,f1_o,C3,61,38525,
masterthesis_mushra,headphones,40,male,,m5_i,C3,37,23498,
masterthesis_mushra,headphones,40,male,,m5_i,C2,32,23498,
masterthesis_mushra,headphones,40,male,,m5_i,C4,68,23498,
